timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693943473141,16,HTTP Request3-2,302,Found,Credit Managers 2-5,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,16,0,0
1693943473157,35,HTTP Request3-3,302,Moved Temporarily,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,2065,352,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7Vdu22AOagrPXBqm--mUYVNDsMGQDrAbK667KdcvpfilGFuH2Npssx13mykzEsg-wm9mi2yHw,35,0,0
1693943473192,269,HTTP Request3-4,200,OK,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,630161,466,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VVp8kIXEQEKdRjFW3_ZACdzSV2h2_WQvz2dqU985Jt31h-A5LCvbwsJ-SijBwbjFoDC4itRw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1962871466%3A1693943473542356,189,0,0
1693943472834,626,Transaction2,,"Number of samples in transaction : 2, number of failing samples : 2",Credit Managers 2-5,,false,,1271720,2647,4,4,null,11,1,0
1693943473152,419,HTTP Request1,200,OK,Credit Managers 2-6,text,false,Test failed: message expected not to contain /OK/,635799,1324,3,3,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7W9bxoGql3nmoCXmT6XacBEaZ9TyWpoWk7AxBfOJW9mu0mipNCM8rdExeS6uLJIBxJ0FcBsbQ&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1795273505%3A1693943473654010,14,0,5
1693943473152,14,HTTP Request1-0,301,Moved Permanently,Credit Managers 2-6,text,false,Test failed: message expected to contain /Found/,606,114,3,3,http://gmail.com/,14,0,5
1693943473167,54,HTTP Request1-1,302,Moved Temporarily,Credit Managers 2-6,text,false,Test failed: message expected to contain /Found/,1252,129,3,3,https://mail.google.com/mail/u/0/,54,0,27
1693943473222,41,HTTP Request1-2,302,Found,Credit Managers 2-6,text,true,,1651,264,3,3,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,41,0,25
1693943473263,47,HTTP Request1-3,302,Moved Temporarily,Credit Managers 2-6,text,false,Test failed: message expected to contain /Found/,2063,352,3,3,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7XtbhXCWqGH0gVyTP9NWMfXvEaaWjRkXpeFDeqiy0oMfJpIPyXdOrCk35Baxl_qKJPZKwlCGw,47,0,0
1693943473310,261,HTTP Request1-4,200,OK,Credit Managers 2-6,text,false,Test failed: message expected to contain /Found/,630227,465,3,3,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7W9bxoGql3nmoCXmT6XacBEaZ9TyWpoWk7AxBfOJW9mu0mipNCM8rdExeS6uLJIBxJ0FcBsbQ&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1795273505%3A1693943473654010,117,0,0
1693943453654,419,Transaction1,,"Number of samples in transaction : 1, number of failing samples : 1",Credit Managers 2-6,,false,,635799,1324,3,3,null,14,19498,5
1693943473571,264,HTTP Request2,200,OK,Credit Managers 2-6,text,false,Test failed: message expected not to contain /OK/,637097,1322,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7XvrmRMUIHFAj_iC_YIZX4DG11xDiFtidkNX8Mv4D0k7jrC5v0lJKljUByUbQsImp1I95nK&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1308696254%3A1693943474018433,6,0,0
1693943473571,6,HTTP Request2-0,301,Moved Permanently,Credit Managers 2-6,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,6,0,0
1693943473577,23,HTTP Request2-1,302,Moved Temporarily,Credit Managers 2-6,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,23,0,0
1693943473600,21,HTTP Request2-2,302,Found,Credit Managers 2-6,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,21,0,0
